+-----+----------------------------------+------------------------------------------------------------+
| id  | department_facet                 | department_display_facet                                   |
+-----+----------------------------------+------------------------------------------------------------+
|   1 | BIOMEN-ME                        | Department of Biomedical Engineering                       |
|   2 | BIOMEN-MS                        | Department of Biomedical Engineering                       |
|   3 | BIOMEN-PHD                       | Department of Biomedical Engineering                       |
|   4 | CHEMEN-ME                        | Department of Chemical Engineering                         |
|   5 | CHEMEN-CGE                       | Department of Chemical Engineering                         |
|   6 | CHEMEN-MS                        | Department of Chemical Engineering                         |
|   7 | CHEMEN-PHD                       | Department of Chemical Engineering                         |
|   8 | CIVIL-ME                         | Department of Civil Engineering                            |
|   9 | CIVIL-CGE                        | Department of Civil Engineering                            |
|  10 | CIVIL-MS                         | Department of Civil Engineering                            |
|  11 | CIVIL-PHD                        | Department of Civil Engineering                            |
|  12 | COMPEN-ME                        | Department of Computer Engineering                         |
|  13 | COMPEN-MS                        | Department of Computer Engineering                         |
|  14 | COMPEN-PHD                       | Department of Computer Engineering                         |
|  15 | COMPSC-MCS                       | Department of Computer Science                             |
|  16 | COMPSC-MS                        | Department of Computer Science                             |
|  17 | COMPSC-PHD                       | Department of Computer Science                             |
|  18 | ELECT-ME                         | Department of Electrical Engineering                       |
|  19 | ELECT-MS                         | Department of Electrical Engineering                       |
|  20 | ELECT-PHD                        | Department of Electrical Engineering                       |
|  21 | ELECT-CGE                        | Department of Electrical Engineering                       |
|  23 | ENGPHY-MEP                       | Department of Engineering Physics                          |
|  24 | ENGPHY-CGE                       | Department of Engineering Physics                          |
|  25 | ENGPHY-MS                        | Department of Engineering Physics                          |
|  26 | ENGPHY-PHD                       | Department of Engineering Physics                          |
|  27 | Civil & Env Engr                 | Department of Civil Engineering                            |
|  28 | MATSC-MMSE                       | Department of Materials Science and Engineering            |
|  29 | MATSCI-MS                        | Department of Materials Science and Engineering            |
|  30 | MATSCI-PHD                       | Department of Materials Science and Engineering            |
|  31 | MATSC-CGE                        | Department of Materials Science and Engineering            |
|  32 | MAE-PHD                          | Department of Mechanical and Aerospace Engineering         |
|  33 | MAE-ME                           | Department of Mechanical and Aerospace Engineering         |
|  34 | MAE-MS                           | Department of Mechanical and Aerospace Engineering         |
|  35 | MAE-CGE                          | Department of Mechanical and Aerospace Engineering         |
|  36 | SYSTEM-ME                        | Department of Systems Engineering                          |
|  41 | SYSTEM-AM                        | Department of Systems Engineering                          |
|  42 | SYSTEM-CGE                       | Department of Systems Engineering                          |
|  43 | SYSTEM-MS                        | Department of Systems Engineering                          |
|  44 | SYSTEM-PHD                       | Department of Systems Engineering                          |
|  46 | PSYCH-PHD                        | Department of Psychology                                   |
|  47 | RELIG-PHD                        | Department of Religious Studies                            |
|  48 | ECON-PHD                         | Department of Economics                                    |
|  49 | CHEM-PHD                         | Department of Chemistry                                    |
|  51 | MATH-PHD                         | Department of Mathematics                                  |
|  52 | ENGL-PHD                         | Department of English                                      |
|  53 | GERMAN-PHD                       | Department of Germanic Languages and Literatures           |
|  54 | BIOP-PHD                         | Department of Biophysics                                   |
|  55 | SOCIOL-PHD                       | Department of Sociology                                    |
|  56 | GOVT-PHD                         | Department of Politics                                     |
|  58 | PHYS-MS                          | Department of Physics                                      |
|  59 | BIOMOL-PHD                       | Department of Biochemistry and Molecular Genetics          |
|  60 | PHY-PHD                          | Department of Molecular Physiology and Biological Physics  |
|  61 | ARTARC-MA                        | Department of Art                                          |
|  62 | RELIG-MA                         | Department of Religious Studies                            |
|  63 | EVSC-MA                          | Department of Environmental Sciences                       |
|  64 | EASIAN-MA                        | Department of East Asian Studies                           |
|  65 | EXPATH-PHD                       | Department of Pathology                                    |
|  66 | NEURO-PHD                        | Department of Neuroscience                                 |
|  67 | PHYS-PHD                         | Department of Physics                                      |
|  68 | MICRO-PHD                        | Department of Microbiology, Immunology, and Cancer Biology |
|  69 | HIST-PHD                         | Department of History                                      |
